"","ch.Xbox","ch.PlayStation","ch.PSPortable","ch.GameCube","ch.GameBoy","ch.PC","own.Xbox","own.PlayStation","own.PSPortable","own.GameCube","own.GameBoy","own.PC","age","hours"
"1",2,1,3,5,6,4,0,1,0,0,0,1,33,2
"2",4,2,3,5,6,1,0,1,0,0,0,1,19,3.25
"3",3,1,2,4,6,5,0,1,0,0,0,1,18,4
"4",3,5,6,1,4,2,1,0,0,1,1,1,18,6
"5",1,2,3,4,6,5,0,0,0,0,0,1,18,2
"6",3,2,5,4,6,1,0,1,0,0,0,1,20,15
"7",3,2,4,6,5,1,0,1,0,0,1,1,18,7
"8",2,3,4,1,5,6,0,0,0,0,0,0,18,0
"9",2,3,1,5,6,4,0,0,0,0,0,0,18,0
"10",2,1,4,5,6,3,0,0,0,0,0,1,18,8
"11",2,1,4,5,6,3,0,1,1,0,0,1,18,8
"12",3,2,4,6,5,1,0,0,0,0,0,1,17,3
"13",3,4,5,2,1,6,0,0,0,0,0,1,22,0
"14",3,2,4,6,5,1,0,0,0,0,1,1,18,4
"15",1,2,3,5,6,4,1,0,1,0,0,1,18,4
"16",3,2,1,5,6,4,1,1,1,0,0,0,18,5
"17",5,1,3,6,4,2,0,0,0,0,0,1,22,0
"18",5,3,2,1,4,6,0,0,0,0,0,1,19,0
"19",3,2,4,5,6,1,0,0,0,0,0,1,19,0
"20",2,4,5,3,6,1,0,0,0,0,0,1,19,0
"21",2,5,4,6,3,1,0,0,0,0,0,1,17,0
"22",3,4,5,6,2,1,0,0,0,0,0,1,18,3
"23",1,2,3,6,4,5,1,0,0,0,0,1,18,1
"24",2,1,3,6,5,4,0,1,1,0,0,1,19,1
"25",1,4,3,6,5,2,1,0,0,0,0,1,19,2
"26",1,2,6,4,5,3,0,0,0,0,0,0,22,0
"27",1,2,3,5,6,4,0,1,0,0,0,1,18,2
"28",3,2,5,4,6,1,0,1,0,0,0,1,20,15
"29",1,4,5,3,6,2,0,0,0,0,0,1,18,2
"30",1,3,2,5,6,4,0,0,0,0,0,1,18,10
"31",4,2,3,6,5,1,0,0,1,0,0,1,18,1
"32",3,5,4,1,2,6,0,0,0,0,0,0,18,0
"33",4,5,6,3,2,1,1,1,0,0,1,1,19,1
"34",3,2,4,6,5,1,0,1,0,0,1,1,18,0
"35",4,6,1,2,3,5,0,0,1,0,0,0,19,0
"36",4,5,2,3,6,1,0,1,1,0,0,1,20,2
"37",6,2,1,4,5,3,0,1,0,0,0,1,18,10
"38",3,2,6,5,4,1,1,0,0,0,0,1,18,7
"39",1,2,4,6,5,3,0,0,0,0,0,1,18,2
"40",2,1,4,5,6,3,0,0,0,0,0,1,21,2
"41",2,1,4,3,5,6,0,0,0,0,0,0,19,0
"42",4,5,1,2,3,6,0,0,0,0,0,1,18,0
"43",2,1,6,4,5,3,0,0,0,0,0,1,21,0.25
"44",5,6,4,3,1,2,0,1,0,0,1,1,19,7
"45",1,3,4,6,5,2,0,1,0,0,0,1,19,5
"46",3,6,4,1,2,5,0,1,0,0,1,1,19,1
"47",2,3,4,6,5,1,0,0,0,0,0,1,21,1
"48",1,4,3,5,6,2,0,0,0,0,0,1,23,4
"49",5,1,3,2,4,6,0,1,0,0,1,1,22,1
"50",3,6,4,2,5,1,0,0,1,0,0,1,24,7
"51",4,5,2,1,3,6,0,0,0,0,0,1,19,0
"52",2,3,5,6,4,1,0,0,0,0,0,1,21,0
"53",1,2,5,6,4,3,0,0,0,0,0,1,20,7
"54",2,3,4,6,5,1,1,1,0,0,1,1,20,5
"55",3,5,2,6,4,1,0,0,0,0,0,1,22,15
"56",2,1,5,6,4,3,0,1,0,0,1,1,21,5
"57",3,2,4,6,5,1,0,0,0,0,0,1,18,0
"58",2,3,4,6,5,1,0,0,0,0,0,1,20,2
"59",2,4,3,6,5,1,0,0,0,0,0,1,24,0
"60",2,4,3,6,5,1,0,0,0,0,0,1,25,0
"61",3,4,1,5,2,6,0,1,1,1,1,1,21,1
"62",5,4,6,2,3,1,0,0,0,0,0,1,22,0.5
"63",1,6,3,4,5,2,0,0,0,0,0,1,21,1
"64",2,3,6,4,5,1,0,0,0,1,0,1,19,8
"65",3,2,4,5,6,1,0,0,0,0,0,1,20,15
"66",1,4,3,2,5,6,0,0,0,0,0,1,20,0
"67",5,6,2,1,3,4,0,0,0,0,0,1,20,0
"68",3,1,4,6,5,2,0,1,0,0,0,1,20,5
"69",1,2,4,6,5,3,0,0,0,0,0,1,21,1
"70",2,3,4,5,6,1,0,0,0,0,0,1,22,0.5
"71",1,3,6,2,4,5,1,0,0,1,0,0,22,8
"72",3,1,6,5,4,2,0,1,0,1,0,1,19,1
"73",1,2,5,3,4,6,0,0,0,0,0,1,20,0
"74",3,1,5,4,6,2,0,0,0,0,0,1,22,15
"75",2,1,4,3,5,6,0,0,0,0,0,1,22,0
"76",2,1,4,5,6,3,0,1,0,0,0,0,25,4
"77",2,3,5,4,6,1,0,0,0,0,0,1,21,1
"78",2,3,6,4,5,1,1,1,0,0,0,1,25,28
"79",2,1,3,6,5,4,0,0,0,0,0,1,19,1
"80",5,2,3,6,4,1,0,1,0,0,0,1,22,15
"81",6,3,5,2,4,1,1,1,0,1,1,1,21,10
"82",5,6,2,3,4,1,0,0,0,0,0,1,19,1
"83",4,3,1,6,5,2,0,0,0,1,0,0,27,2
"84",4,5,6,2,3,1,0,1,0,1,0,1,23,2
"85",3,2,5,4,6,1,0,0,0,0,0,1,25,10
"86",2,3,5,4,6,1,0,0,0,0,0,1,20,8
"87",1,3,5,6,2,4,1,0,0,0,0,1,20,10
"88",3,2,4,6,5,1,0,0,0,0,0,1,20,10
"89",5,2,6,4,3,1,0,0,0,0,0,1,22,0
"90",5,3,2,4,6,1,0,0,0,0,0,0,23,0
"91",4,1,3,5,6,2,0,1,0,0,0,1,21,3
