"","age","hours","platform","ch","own","chid"
"1",33,2,"GameBoy",6,0,1
"2",33,2,"GameCube",5,0,1
"3",33,2,"PC",4,1,1
"4",33,2,"PlayStation",1,1,1
"5",33,2,"PSPortable",3,0,1
"6",33,2,"Xbox",2,0,1
"7",19,3.25,"GameBoy",6,0,2
"8",19,3.25,"GameCube",5,0,2
"9",19,3.25,"PC",1,1,2
"10",19,3.25,"PlayStation",2,1,2
"11",19,3.25,"PSPortable",3,0,2
"12",19,3.25,"Xbox",4,0,2
"13",18,4,"GameBoy",6,0,3
"14",18,4,"GameCube",4,0,3
"15",18,4,"PC",5,1,3
"16",18,4,"PlayStation",1,1,3
"17",18,4,"PSPortable",2,0,3
"18",18,4,"Xbox",3,0,3
"19",18,6,"GameBoy",4,1,4
"20",18,6,"GameCube",1,1,4
"21",18,6,"PC",2,1,4
"22",18,6,"PlayStation",5,0,4
"23",18,6,"PSPortable",6,0,4
"24",18,6,"Xbox",3,1,4
"25",18,2,"GameBoy",6,0,5
"26",18,2,"GameCube",4,0,5
"27",18,2,"PC",5,1,5
"28",18,2,"PlayStation",2,0,5
"29",18,2,"PSPortable",3,0,5
"30",18,2,"Xbox",1,0,5
"31",20,15,"GameBoy",6,0,6
"32",20,15,"GameCube",4,0,6
"33",20,15,"PC",1,1,6
"34",20,15,"PlayStation",2,1,6
"35",20,15,"PSPortable",5,0,6
"36",20,15,"Xbox",3,0,6
"37",18,7,"GameBoy",5,1,7
"38",18,7,"GameCube",6,0,7
"39",18,7,"PC",1,1,7
"40",18,7,"PlayStation",2,1,7
"41",18,7,"PSPortable",4,0,7
"42",18,7,"Xbox",3,0,7
"43",18,0,"GameBoy",5,0,8
"44",18,0,"GameCube",1,0,8
"45",18,0,"PC",6,0,8
"46",18,0,"PlayStation",3,0,8
"47",18,0,"PSPortable",4,0,8
"48",18,0,"Xbox",2,0,8
"49",18,0,"GameBoy",6,0,9
"50",18,0,"GameCube",5,0,9
"51",18,0,"PC",4,0,9
"52",18,0,"PlayStation",3,0,9
"53",18,0,"PSPortable",1,0,9
"54",18,0,"Xbox",2,0,9
"55",18,8,"GameBoy",6,0,10
"56",18,8,"GameCube",5,0,10
"57",18,8,"PC",3,1,10
"58",18,8,"PlayStation",1,0,10
"59",18,8,"PSPortable",4,0,10
"60",18,8,"Xbox",2,0,10
"61",18,8,"GameBoy",6,0,11
"62",18,8,"GameCube",5,0,11
"63",18,8,"PC",3,1,11
"64",18,8,"PlayStation",1,1,11
"65",18,8,"PSPortable",4,1,11
"66",18,8,"Xbox",2,0,11
"67",17,3,"GameBoy",5,0,12
"68",17,3,"GameCube",6,0,12
"69",17,3,"PC",1,1,12
"70",17,3,"PlayStation",2,0,12
"71",17,3,"PSPortable",4,0,12
"72",17,3,"Xbox",3,0,12
"73",22,0,"GameBoy",1,0,13
"74",22,0,"GameCube",2,0,13
"75",22,0,"PC",6,1,13
"76",22,0,"PlayStation",4,0,13
"77",22,0,"PSPortable",5,0,13
"78",22,0,"Xbox",3,0,13
"79",18,4,"GameBoy",5,1,14
"80",18,4,"GameCube",6,0,14
"81",18,4,"PC",1,1,14
"82",18,4,"PlayStation",2,0,14
"83",18,4,"PSPortable",4,0,14
"84",18,4,"Xbox",3,0,14
"85",18,4,"GameBoy",6,0,15
"86",18,4,"GameCube",5,0,15
"87",18,4,"PC",4,1,15
"88",18,4,"PlayStation",2,0,15
"89",18,4,"PSPortable",3,1,15
"90",18,4,"Xbox",1,1,15
"91",18,5,"GameBoy",6,0,16
"92",18,5,"GameCube",5,0,16
"93",18,5,"PC",4,0,16
"94",18,5,"PlayStation",2,1,16
"95",18,5,"PSPortable",1,1,16
"96",18,5,"Xbox",3,1,16
"97",22,0,"GameBoy",4,0,17
"98",22,0,"GameCube",6,0,17
"99",22,0,"PC",2,1,17
"100",22,0,"PlayStation",1,0,17
"101",22,0,"PSPortable",3,0,17
"102",22,0,"Xbox",5,0,17
"103",19,0,"GameBoy",4,0,18
"104",19,0,"GameCube",1,0,18
"105",19,0,"PC",6,1,18
"106",19,0,"PlayStation",3,0,18
"107",19,0,"PSPortable",2,0,18
"108",19,0,"Xbox",5,0,18
"109",19,0,"GameBoy",6,0,19
"110",19,0,"GameCube",5,0,19
"111",19,0,"PC",1,1,19
"112",19,0,"PlayStation",2,0,19
"113",19,0,"PSPortable",4,0,19
"114",19,0,"Xbox",3,0,19
"115",19,0,"GameBoy",6,0,20
"116",19,0,"GameCube",3,0,20
"117",19,0,"PC",1,1,20
"118",19,0,"PlayStation",4,0,20
"119",19,0,"PSPortable",5,0,20
"120",19,0,"Xbox",2,0,20
"121",17,0,"GameBoy",3,0,21
"122",17,0,"GameCube",6,0,21
"123",17,0,"PC",1,1,21
"124",17,0,"PlayStation",5,0,21
"125",17,0,"PSPortable",4,0,21
"126",17,0,"Xbox",2,0,21
"127",18,3,"GameBoy",2,0,22
"128",18,3,"GameCube",6,0,22
"129",18,3,"PC",1,1,22
"130",18,3,"PlayStation",4,0,22
"131",18,3,"PSPortable",5,0,22
"132",18,3,"Xbox",3,0,22
"133",18,1,"GameBoy",4,0,23
"134",18,1,"GameCube",6,0,23
"135",18,1,"PC",5,1,23
"136",18,1,"PlayStation",2,0,23
"137",18,1,"PSPortable",3,0,23
"138",18,1,"Xbox",1,1,23
"139",19,1,"GameBoy",5,0,24
"140",19,1,"GameCube",6,0,24
"141",19,1,"PC",4,1,24
"142",19,1,"PlayStation",1,1,24
"143",19,1,"PSPortable",3,1,24
"144",19,1,"Xbox",2,0,24
"145",19,2,"GameBoy",5,0,25
"146",19,2,"GameCube",6,0,25
"147",19,2,"PC",2,1,25
"148",19,2,"PlayStation",4,0,25
"149",19,2,"PSPortable",3,0,25
"150",19,2,"Xbox",1,1,25
"151",22,0,"GameBoy",5,0,26
"152",22,0,"GameCube",4,0,26
"153",22,0,"PC",3,0,26
"154",22,0,"PlayStation",2,0,26
"155",22,0,"PSPortable",6,0,26
"156",22,0,"Xbox",1,0,26
"157",18,2,"GameBoy",6,0,27
"158",18,2,"GameCube",5,0,27
"159",18,2,"PC",4,1,27
"160",18,2,"PlayStation",2,1,27
"161",18,2,"PSPortable",3,0,27
"162",18,2,"Xbox",1,0,27
"163",20,15,"GameBoy",6,0,28
"164",20,15,"GameCube",4,0,28
"165",20,15,"PC",1,1,28
"166",20,15,"PlayStation",2,1,28
"167",20,15,"PSPortable",5,0,28
"168",20,15,"Xbox",3,0,28
"169",18,2,"GameBoy",6,0,29
"170",18,2,"GameCube",3,0,29
"171",18,2,"PC",2,1,29
"172",18,2,"PlayStation",4,0,29
"173",18,2,"PSPortable",5,0,29
"174",18,2,"Xbox",1,0,29
"175",18,10,"GameBoy",6,0,30
"176",18,10,"GameCube",5,0,30
"177",18,10,"PC",4,1,30
"178",18,10,"PlayStation",3,0,30
"179",18,10,"PSPortable",2,0,30
"180",18,10,"Xbox",1,0,30
"181",18,1,"GameBoy",5,0,31
"182",18,1,"GameCube",6,0,31
"183",18,1,"PC",1,1,31
"184",18,1,"PlayStation",2,0,31
"185",18,1,"PSPortable",3,1,31
"186",18,1,"Xbox",4,0,31
"187",18,0,"GameBoy",2,0,32
"188",18,0,"GameCube",1,0,32
"189",18,0,"PC",6,0,32
"190",18,0,"PlayStation",5,0,32
"191",18,0,"PSPortable",4,0,32
"192",18,0,"Xbox",3,0,32
"193",19,1,"GameBoy",2,1,33
"194",19,1,"GameCube",3,0,33
"195",19,1,"PC",1,1,33
"196",19,1,"PlayStation",5,1,33
"197",19,1,"PSPortable",6,0,33
"198",19,1,"Xbox",4,1,33
"199",18,0,"GameBoy",5,1,34
"200",18,0,"GameCube",6,0,34
"201",18,0,"PC",1,1,34
"202",18,0,"PlayStation",2,1,34
"203",18,0,"PSPortable",4,0,34
"204",18,0,"Xbox",3,0,34
"205",19,0,"GameBoy",3,0,35
"206",19,0,"GameCube",2,0,35
"207",19,0,"PC",5,0,35
"208",19,0,"PlayStation",6,0,35
"209",19,0,"PSPortable",1,1,35
"210",19,0,"Xbox",4,0,35
"211",20,2,"GameBoy",6,0,36
"212",20,2,"GameCube",3,0,36
"213",20,2,"PC",1,1,36
"214",20,2,"PlayStation",5,1,36
"215",20,2,"PSPortable",2,1,36
"216",20,2,"Xbox",4,0,36
"217",18,10,"GameBoy",5,0,37
"218",18,10,"GameCube",4,0,37
"219",18,10,"PC",3,1,37
"220",18,10,"PlayStation",2,1,37
"221",18,10,"PSPortable",1,0,37
"222",18,10,"Xbox",6,0,37
"223",18,7,"GameBoy",4,0,38
"224",18,7,"GameCube",5,0,38
"225",18,7,"PC",1,1,38
"226",18,7,"PlayStation",2,0,38
"227",18,7,"PSPortable",6,0,38
"228",18,7,"Xbox",3,1,38
"229",18,2,"GameBoy",5,0,39
"230",18,2,"GameCube",6,0,39
"231",18,2,"PC",3,1,39
"232",18,2,"PlayStation",2,0,39
"233",18,2,"PSPortable",4,0,39
"234",18,2,"Xbox",1,0,39
"235",21,2,"GameBoy",6,0,40
"236",21,2,"GameCube",5,0,40
"237",21,2,"PC",3,1,40
"238",21,2,"PlayStation",1,0,40
"239",21,2,"PSPortable",4,0,40
"240",21,2,"Xbox",2,0,40
"241",19,0,"GameBoy",5,0,41
"242",19,0,"GameCube",3,0,41
"243",19,0,"PC",6,0,41
"244",19,0,"PlayStation",1,0,41
"245",19,0,"PSPortable",4,0,41
"246",19,0,"Xbox",2,0,41
"247",18,0,"GameBoy",3,0,42
"248",18,0,"GameCube",2,0,42
"249",18,0,"PC",6,1,42
"250",18,0,"PlayStation",5,0,42
"251",18,0,"PSPortable",1,0,42
"252",18,0,"Xbox",4,0,42
"253",21,0.25,"GameBoy",5,0,43
"254",21,0.25,"GameCube",4,0,43
"255",21,0.25,"PC",3,1,43
"256",21,0.25,"PlayStation",1,0,43
"257",21,0.25,"PSPortable",6,0,43
"258",21,0.25,"Xbox",2,0,43
"259",19,7,"GameBoy",1,1,44
"260",19,7,"GameCube",3,0,44
"261",19,7,"PC",2,1,44
"262",19,7,"PlayStation",6,1,44
"263",19,7,"PSPortable",4,0,44
"264",19,7,"Xbox",5,0,44
"265",19,5,"GameBoy",5,0,45
"266",19,5,"GameCube",6,0,45
"267",19,5,"PC",2,1,45
"268",19,5,"PlayStation",3,1,45
"269",19,5,"PSPortable",4,0,45
"270",19,5,"Xbox",1,0,45
"271",19,1,"GameBoy",2,1,46
"272",19,1,"GameCube",1,0,46
"273",19,1,"PC",5,1,46
"274",19,1,"PlayStation",6,1,46
"275",19,1,"PSPortable",4,0,46
"276",19,1,"Xbox",3,0,46
"277",21,1,"GameBoy",5,0,47
"278",21,1,"GameCube",6,0,47
"279",21,1,"PC",1,1,47
"280",21,1,"PlayStation",3,0,47
"281",21,1,"PSPortable",4,0,47
"282",21,1,"Xbox",2,0,47
"283",23,4,"GameBoy",6,0,48
"284",23,4,"GameCube",5,0,48
"285",23,4,"PC",2,1,48
"286",23,4,"PlayStation",4,0,48
"287",23,4,"PSPortable",3,0,48
"288",23,4,"Xbox",1,0,48
"289",22,1,"GameBoy",4,1,49
"290",22,1,"GameCube",2,0,49
"291",22,1,"PC",6,1,49
"292",22,1,"PlayStation",1,1,49
"293",22,1,"PSPortable",3,0,49
"294",22,1,"Xbox",5,0,49
"295",24,7,"GameBoy",5,0,50
"296",24,7,"GameCube",2,0,50
"297",24,7,"PC",1,1,50
"298",24,7,"PlayStation",6,0,50
"299",24,7,"PSPortable",4,1,50
"300",24,7,"Xbox",3,0,50
"301",19,0,"GameBoy",3,0,51
"302",19,0,"GameCube",1,0,51
"303",19,0,"PC",6,1,51
"304",19,0,"PlayStation",5,0,51
"305",19,0,"PSPortable",2,0,51
"306",19,0,"Xbox",4,0,51
"307",21,0,"GameBoy",4,0,52
"308",21,0,"GameCube",6,0,52
"309",21,0,"PC",1,1,52
"310",21,0,"PlayStation",3,0,52
"311",21,0,"PSPortable",5,0,52
"312",21,0,"Xbox",2,0,52
"313",20,7,"GameBoy",4,0,53
"314",20,7,"GameCube",6,0,53
"315",20,7,"PC",3,1,53
"316",20,7,"PlayStation",2,0,53
"317",20,7,"PSPortable",5,0,53
"318",20,7,"Xbox",1,0,53
"319",20,5,"GameBoy",5,1,54
"320",20,5,"GameCube",6,0,54
"321",20,5,"PC",1,1,54
"322",20,5,"PlayStation",3,1,54
"323",20,5,"PSPortable",4,0,54
"324",20,5,"Xbox",2,1,54
"325",22,15,"GameBoy",4,0,55
"326",22,15,"GameCube",6,0,55
"327",22,15,"PC",1,1,55
"328",22,15,"PlayStation",5,0,55
"329",22,15,"PSPortable",2,0,55
"330",22,15,"Xbox",3,0,55
"331",21,5,"GameBoy",4,1,56
"332",21,5,"GameCube",6,0,56
"333",21,5,"PC",3,1,56
"334",21,5,"PlayStation",1,1,56
"335",21,5,"PSPortable",5,0,56
"336",21,5,"Xbox",2,0,56
"337",18,0,"GameBoy",5,0,57
"338",18,0,"GameCube",6,0,57
"339",18,0,"PC",1,1,57
"340",18,0,"PlayStation",2,0,57
"341",18,0,"PSPortable",4,0,57
"342",18,0,"Xbox",3,0,57
"343",20,2,"GameBoy",5,0,58
"344",20,2,"GameCube",6,0,58
"345",20,2,"PC",1,1,58
"346",20,2,"PlayStation",3,0,58
"347",20,2,"PSPortable",4,0,58
"348",20,2,"Xbox",2,0,58
"349",24,0,"GameBoy",5,0,59
"350",24,0,"GameCube",6,0,59
"351",24,0,"PC",1,1,59
"352",24,0,"PlayStation",4,0,59
"353",24,0,"PSPortable",3,0,59
"354",24,0,"Xbox",2,0,59
"355",25,0,"GameBoy",5,0,60
"356",25,0,"GameCube",6,0,60
"357",25,0,"PC",1,1,60
"358",25,0,"PlayStation",4,0,60
"359",25,0,"PSPortable",3,0,60
"360",25,0,"Xbox",2,0,60
"361",21,1,"GameBoy",2,1,61
"362",21,1,"GameCube",5,1,61
"363",21,1,"PC",6,1,61
"364",21,1,"PlayStation",4,1,61
"365",21,1,"PSPortable",1,1,61
"366",21,1,"Xbox",3,0,61
"367",22,0.5,"GameBoy",3,0,62
"368",22,0.5,"GameCube",2,0,62
"369",22,0.5,"PC",1,1,62
"370",22,0.5,"PlayStation",4,0,62
"371",22,0.5,"PSPortable",6,0,62
"372",22,0.5,"Xbox",5,0,62
"373",21,1,"GameBoy",5,0,63
"374",21,1,"GameCube",4,0,63
"375",21,1,"PC",2,1,63
"376",21,1,"PlayStation",6,0,63
"377",21,1,"PSPortable",3,0,63
"378",21,1,"Xbox",1,0,63
"379",19,8,"GameBoy",5,0,64
"380",19,8,"GameCube",4,1,64
"381",19,8,"PC",1,1,64
"382",19,8,"PlayStation",3,0,64
"383",19,8,"PSPortable",6,0,64
"384",19,8,"Xbox",2,0,64
"385",20,15,"GameBoy",6,0,65
"386",20,15,"GameCube",5,0,65
"387",20,15,"PC",1,1,65
"388",20,15,"PlayStation",2,0,65
"389",20,15,"PSPortable",4,0,65
"390",20,15,"Xbox",3,0,65
"391",20,0,"GameBoy",5,0,66
"392",20,0,"GameCube",2,0,66
"393",20,0,"PC",6,1,66
"394",20,0,"PlayStation",4,0,66
"395",20,0,"PSPortable",3,0,66
"396",20,0,"Xbox",1,0,66
"397",20,0,"GameBoy",3,0,67
"398",20,0,"GameCube",1,0,67
"399",20,0,"PC",4,1,67
"400",20,0,"PlayStation",6,0,67
"401",20,0,"PSPortable",2,0,67
"402",20,0,"Xbox",5,0,67
"403",20,5,"GameBoy",5,0,68
"404",20,5,"GameCube",6,0,68
"405",20,5,"PC",2,1,68
"406",20,5,"PlayStation",1,1,68
"407",20,5,"PSPortable",4,0,68
"408",20,5,"Xbox",3,0,68
"409",21,1,"GameBoy",5,0,69
"410",21,1,"GameCube",6,0,69
"411",21,1,"PC",3,1,69
"412",21,1,"PlayStation",2,0,69
"413",21,1,"PSPortable",4,0,69
"414",21,1,"Xbox",1,0,69
"415",22,0.5,"GameBoy",6,0,70
"416",22,0.5,"GameCube",5,0,70
"417",22,0.5,"PC",1,1,70
"418",22,0.5,"PlayStation",3,0,70
"419",22,0.5,"PSPortable",4,0,70
"420",22,0.5,"Xbox",2,0,70
"421",22,8,"GameBoy",4,0,71
"422",22,8,"GameCube",2,1,71
"423",22,8,"PC",5,0,71
"424",22,8,"PlayStation",3,0,71
"425",22,8,"PSPortable",6,0,71
"426",22,8,"Xbox",1,1,71
"427",19,1,"GameBoy",4,0,72
"428",19,1,"GameCube",5,1,72
"429",19,1,"PC",2,1,72
"430",19,1,"PlayStation",1,1,72
"431",19,1,"PSPortable",6,0,72
"432",19,1,"Xbox",3,0,72
"433",20,0,"GameBoy",4,0,73
"434",20,0,"GameCube",3,0,73
"435",20,0,"PC",6,1,73
"436",20,0,"PlayStation",2,0,73
"437",20,0,"PSPortable",5,0,73
"438",20,0,"Xbox",1,0,73
"439",22,15,"GameBoy",6,0,74
"440",22,15,"GameCube",4,0,74
"441",22,15,"PC",2,1,74
"442",22,15,"PlayStation",1,0,74
"443",22,15,"PSPortable",5,0,74
"444",22,15,"Xbox",3,0,74
"445",22,0,"GameBoy",5,0,75
"446",22,0,"GameCube",3,0,75
"447",22,0,"PC",6,1,75
"448",22,0,"PlayStation",1,0,75
"449",22,0,"PSPortable",4,0,75
"450",22,0,"Xbox",2,0,75
"451",25,4,"GameBoy",6,0,76
"452",25,4,"GameCube",5,0,76
"453",25,4,"PC",3,0,76
"454",25,4,"PlayStation",1,1,76
"455",25,4,"PSPortable",4,0,76
"456",25,4,"Xbox",2,0,76
"457",21,1,"GameBoy",6,0,77
"458",21,1,"GameCube",4,0,77
"459",21,1,"PC",1,1,77
"460",21,1,"PlayStation",3,0,77
"461",21,1,"PSPortable",5,0,77
"462",21,1,"Xbox",2,0,77
"463",25,28,"GameBoy",5,0,78
"464",25,28,"GameCube",4,0,78
"465",25,28,"PC",1,1,78
"466",25,28,"PlayStation",3,1,78
"467",25,28,"PSPortable",6,0,78
"468",25,28,"Xbox",2,1,78
"469",19,1,"GameBoy",5,0,79
"470",19,1,"GameCube",6,0,79
"471",19,1,"PC",4,1,79
"472",19,1,"PlayStation",1,0,79
"473",19,1,"PSPortable",3,0,79
"474",19,1,"Xbox",2,0,79
"475",22,15,"GameBoy",4,0,80
"476",22,15,"GameCube",6,0,80
"477",22,15,"PC",1,1,80
"478",22,15,"PlayStation",2,1,80
"479",22,15,"PSPortable",3,0,80
"480",22,15,"Xbox",5,0,80
"481",21,10,"GameBoy",4,1,81
"482",21,10,"GameCube",2,1,81
"483",21,10,"PC",1,1,81
"484",21,10,"PlayStation",3,1,81
"485",21,10,"PSPortable",5,0,81
"486",21,10,"Xbox",6,1,81
"487",19,1,"GameBoy",4,0,82
"488",19,1,"GameCube",3,0,82
"489",19,1,"PC",1,1,82
"490",19,1,"PlayStation",6,0,82
"491",19,1,"PSPortable",2,0,82
"492",19,1,"Xbox",5,0,82
"493",27,2,"GameBoy",5,0,83
"494",27,2,"GameCube",6,1,83
"495",27,2,"PC",2,0,83
"496",27,2,"PlayStation",3,0,83
"497",27,2,"PSPortable",1,0,83
"498",27,2,"Xbox",4,0,83
"499",23,2,"GameBoy",3,0,84
"500",23,2,"GameCube",2,1,84
"501",23,2,"PC",1,1,84
"502",23,2,"PlayStation",5,1,84
"503",23,2,"PSPortable",6,0,84
"504",23,2,"Xbox",4,0,84
"505",25,10,"GameBoy",6,0,85
"506",25,10,"GameCube",4,0,85
"507",25,10,"PC",1,1,85
"508",25,10,"PlayStation",2,0,85
"509",25,10,"PSPortable",5,0,85
"510",25,10,"Xbox",3,0,85
"511",20,8,"GameBoy",6,0,86
"512",20,8,"GameCube",4,0,86
"513",20,8,"PC",1,1,86
"514",20,8,"PlayStation",3,0,86
"515",20,8,"PSPortable",5,0,86
"516",20,8,"Xbox",2,0,86
"517",20,10,"GameBoy",2,0,87
"518",20,10,"GameCube",6,0,87
"519",20,10,"PC",4,1,87
"520",20,10,"PlayStation",3,0,87
"521",20,10,"PSPortable",5,0,87
"522",20,10,"Xbox",1,1,87
"523",20,10,"GameBoy",5,0,88
"524",20,10,"GameCube",6,0,88
"525",20,10,"PC",1,1,88
"526",20,10,"PlayStation",2,0,88
"527",20,10,"PSPortable",4,0,88
"528",20,10,"Xbox",3,0,88
"529",22,0,"GameBoy",3,0,89
"530",22,0,"GameCube",4,0,89
"531",22,0,"PC",1,1,89
"532",22,0,"PlayStation",2,0,89
"533",22,0,"PSPortable",6,0,89
"534",22,0,"Xbox",5,0,89
"535",23,0,"GameBoy",6,0,90
"536",23,0,"GameCube",4,0,90
"537",23,0,"PC",1,0,90
"538",23,0,"PlayStation",3,0,90
"539",23,0,"PSPortable",2,0,90
"540",23,0,"Xbox",5,0,90
"541",21,3,"GameBoy",6,0,91
"542",21,3,"GameCube",5,0,91
"543",21,3,"PC",2,1,91
"544",21,3,"PlayStation",1,1,91
"545",21,3,"PSPortable",3,0,91
"546",21,3,"Xbox",4,0,91
