,case,choice,cost,ivt,ovt,freq
0,1,0,28.25,50,66,4
1,1,1,15.77,61,0,0
2,11,0,31.25,50,74,4
3,11,1,19.95,79,0,0
4,14,0,45.65,117,109,4
5,14,1,29.26,119,0,0
6,72,0,44.15,117,89,4
7,72,1,43.89,153,0,0
8,202,0,46.65,117,124,4
9,202,1,60.8,240,0,0
10,205,0,164.2,56,149,9
11,205,1,94.24,318,0,0
12,227,0,32.0,50,85,4
13,227,1,15.77,74,0,0
14,238,0,44.9,117,100,4
15,238,1,39.71,148,0,0
16,252,0,47.4,117,135,4
17,252,1,56.62,234,0,0
18,266,0,45.9,117,110,4
19,266,1,28.12,102,0,0
20,279,1,243.0,170,175,9
21,279,0,176.13,575,0,0
22,280,1,243.0,170,180,9
23,280,0,181.64,600,0,0
24,281,1,272.7,260,170,4
25,281,0,204.63,700,0,0
26,282,0,34.8,67,100,4
27,282,1,38.76,149,0,0
28,287,0,32.5,67,115,4
29,287,1,8.93,43,0,0
30,290,1,27.0,67,70,4
31,290,0,19.76,78,0,0
32,295,0,27.0,67,70,4
33,295,1,19.76,78,0,0
34,315,0,31.0,67,95,4
35,315,1,27.93,102,0,0
36,356,1,232.48,149,140,4
37,356,0,175.94,575,0,0
38,357,1,232.48,149,145,4
39,357,0,181.45,600,0,0
40,364,1,118.3,702,108,2
41,364,0,192.85,638,0,0
42,366,0,23.7,36,65,5
43,366,1,15.39,63,0,0
44,397,0,33.2,41,155,7
45,397,1,21.09,85,0,0
46,398,0,28.7,41,110,7
47,398,1,16.34,79,0,0
48,403,0,33.6,63,160,8
49,403,1,45.41,206,0,0
50,410,1,223.3,84,151,4
51,410,0,165.3,550,0,0
52,423,0,31.8,35,90,5
53,423,1,16.53,69,0,0
54,425,0,33.8,35,90,5
55,425,1,18.24,77,0,0
56,426,0,43.4,40,130,8
57,426,1,11.97,47,0,0
58,434,0,40.4,40,115,8
59,434,1,15.2,62,0,0
60,477,1,200.2,69,210,45
61,477,0,146.87,474,0,0
62,479,1,200.2,69,215,45
63,479,0,152.38,498,0,0
64,481,1,226.6,84,205,4
65,481,0,175.37,599,0,0
66,486,0,35.35,35,95,5
67,486,1,19.76,84,0,0
68,487,0,46.95,40,135,8
69,487,1,15.2,62,0,0
70,488,0,43.95,40,120,8
71,488,1,18.43,76,0,0
72,502,0,45.4,40,140,8
73,502,1,15.58,58,0,0
74,505,0,42.4,40,125,8
75,505,1,18.81,73,0,0
76,506,0,39.4,40,150,8
77,506,1,19.38,75,0,0
78,546,0,37.4,40,140,8
79,546,1,32.11,123,0,0
80,561,0,37.4,40,155,8
81,561,1,61.18,250,0,0
82,562,0,44.4,40,165,8
83,562,1,55.48,193,0,0
84,568,0,28.55,24,102,4
85,568,1,13.11,55,0,0
86,569,0,28.05,24,97,4
87,569,1,13.11,58,0,0
88,579,1,20.45,36,55,5
89,579,0,12.35,57,0,0
90,582,0,20.45,36,55,5
91,582,1,12.35,57,0,0
92,939,0,20.8,35,65,5
93,939,1,7.98,43,0,0
94,940,0,23.2,41,59,7
95,940,1,11.21,57,0,0
96,942,0,24.7,41,75,7
97,942,1,11.78,60,0,0
98,968,0,37.6,63,110,8
99,968,1,41.42,156,0,0
100,1008,0,35.6,92,100,4
101,1008,1,22.23,88,0,0
102,1013,0,32.6,92,85,4
103,1013,1,25.46,102,0,0
104,1059,0,37.6,92,140,4
105,1059,1,31.16,110,0,0
106,1060,0,40.6,92,145,4
107,1060,1,40.85,152,0,0
108,1061,0,41.6,92,155,4
109,1061,1,47.31,181,0,0
110,1084,1,218.3,84,131,4
111,1084,0,159.6,519,0,0
112,1085,0,36.6,92,102,4
113,1085,1,22.99,94,0,0
114,1088,0,33.6,92,87,4
115,1088,1,26.22,108,0,0
116,1089,0,23.4,45,57,4
117,1089,1,26.79,110,0,0
118,1116,0,41.6,92,147,4
119,1116,1,41.61,157,0,0
120,1132,0,34.6,92,98,4
121,1132,1,27.74,112,0,0
122,1164,0,39.6,92,123,4
123,1164,1,42.56,155,0,0
124,1179,0,35.2,71,130,4
125,1179,1,23.56,113,0,0
126,1207,0,216.0,84,125,4
127,1207,1,157.51,538,0,0
128,1217,0,31.4,54,90,3
129,1217,1,4.94,30,0,0
130,1229,0,35.4,54,140,3
131,1229,1,28.88,101,0,0
132,1265,1,205.3,84,125,4
133,1265,0,154.47,503,0,0
134,1266,1,213.3,84,134,4
135,1266,0,155.61,511,0,0
136,1267,1,213.3,84,129,4
137,1267,0,193.8,673,0,0
138,1376,0,31.4,71,105,4
139,1376,1,34.58,122,0,0
140,1831,0,12.47,70,100,1
141,1831,1,30.21,127,0,0
142,2609,0,12.55,70,118,1
143,2609,1,32.3,141,0,0
144,2863,0,29.1,54,80,4
145,2863,1,12.54,49,0,0
146,2873,0,30.1,54,98,4
147,2873,1,19.0,72,0,0
148,2874,0,39.4,35,143,3
149,2874,1,15.77,73,0,0
150,2890,0,29.35,54,85,4
151,2890,1,10.83,43,0,0
152,2892,0,30.35,54,103,4
153,2892,1,17.29,66,0,0
154,2895,0,38.4,35,140,3
155,2895,1,14.06,67,0,0
156,2917,1,190.9,69,190,45
157,2917,0,125.4,418,0,0
158,2918,1,190.9,69,195,45
159,2918,0,130.91,442,0,0
160,2919,1,217.3,84,185,4
161,2919,0,153.9,542,0,0
162,2925,0,31.4,71,120,4
163,2925,1,49.4,192,0,0
164,2931,0,40.6,63,160,1
165,2931,1,40.66,152,0,0
166,2980,0,57.1,176,80,3
167,2980,1,69.73,245,0,0
168,2981,1,60.5,196,85,3
169,2981,0,70.11,240,0,0
170,2982,0,60.5,196,85,3
171,2982,1,70.11,240,0,0
172,3006,0,51.2,183,105,1
173,3006,1,29.83,104,0,0
174,3011,1,57.1,176,85,3
175,3011,0,72.01,245,0,0
176,3012,0,57.1,176,85,3
177,3012,1,72.01,245,0,0
178,3013,0,61.0,196,112,3
179,3013,1,78.28,265,0,0
180,3014,0,80.5,387,98,2
181,3014,1,112.1,370,0,0
182,3025,0,37.6,82,55,3
183,3025,1,26.98,95,0,0
184,3026,0,34.8,39,90,5
185,3026,1,30.78,111,0,0
186,3030,0,50.4,154,105,2
187,3030,1,32.3,135,0,0
188,3036,0,64.25,196,75,3
189,3036,1,69.16,237,0,0
190,3037,1,62.8,196,80,3
191,3037,0,69.16,237,0,0
192,3038,0,58.3,196,75,3
193,3038,1,69.54,231,0,0
194,3039,0,59.0,176,90,3
195,3039,1,63.84,219,0,0
196,3040,0,32.5,39,70,5
197,3040,1,26.98,113,0,0
198,3044,1,27.5,42,55,5
199,3044,0,15.01,57,0,0
200,3045,0,27.5,42,55,5
201,3045,1,15.01,57,0,0
202,3046,0,30.5,42,70,5
203,3046,1,18.81,74,0,0
204,3085,0,44.0,137,70,5
205,3085,1,57.19,199,0,0
206,3100,1,73.0,387,63,2
207,3100,0,97.28,324,0,0
208,3101,1,76.7,387,75,2
209,3101,0,101.84,343,0,0
210,3105,0,30.0,42,68,5
211,3105,1,25.27,121,0,0
212,3107,1,75.5,387,76,2
213,3107,0,105.45,380,0,0
214,3159,1,67.2,40,69,3
215,3159,0,18.24,89,0,0
216,3548,0,31.4,42,79,2
217,3548,1,21.28,88,0,0
218,3593,0,33.9,40,95,4
219,3593,1,22.61,108,0,0
220,3662,0,25.75,42,66,2
221,3662,1,16.72,73,0,0
222,3731,0,28.95,75,80,4
223,3731,1,17.29,74,0,0
224,3806,0,24.45,40,65,4
225,3806,1,8.74,39,0,0
226,4091,0,29.4,42,106,2
227,4091,1,29.64,107,0,0
228,4155,0,26.9,40,80,4
229,4155,1,12.16,54,0,0
230,4210,0,28.6,75,105,4
231,4210,1,24.89,91,0,0
232,4239,0,155.3,46,220,16
233,4239,1,5.51,34,0,0
234,4240,0,155.3,46,215,16
235,4240,1,28.5,134,0,0
236,4278,0,23.3,63,63,1
237,4278,1,20.33,86,0,0
238,4292,0,33.4,40,95,4
239,4292,1,5.7,33,0,0
240,4323,0,60.6,193,200,3
241,4323,1,61.37,278,0,0
242,4324,0,28.5,63,105,1
243,4324,1,28.5,134,0,0
